Menu Category,Menu Item,City,Serve Size (g),Energy,Protein,Total Fat,Sat Fat,Trans Fat,Cholesterol,Total Carbohydrate,Total Sugars,Added Sugars,Sodium,Popularity,Price,Special Promotions,Local Favorites,Customer Ratings,Health Conscious,Sustainability Rating,Availability Hours
Dessert Menu,Vanilla Ice Cream,Ahmedabad,220.79,896.72,9.94,26.32,19.68,0.36,39.05,106.37,9.83,5.68,1226.03,5.23,13.51,Yes,Yes,4.8,Yes,8.63,Evening
Meal Menu,McCombo Meal,Delhi,188.77,402.54,18.43,35.86,12.5,0.38,4.82,78.32,2.96,2.07,1338.81,1.12,12.25,No,Yes,4.46,Yes,9.05,Morning
Meal Menu,Veggie Deluxe Meal,Ahmedabad,123.98,459.81,16.82,14.64,1.6,0.15,46.37,29.26,16.81,3.96,1494.43,3.4,14.45,Yes,No,8.29,Yes,1.95,Afternoon
Dessert Menu,Apple Pie,Chennai,155.06,351.5,8.71,18.19,11.57,0.9,48.44,30.6,7.44,2.93,657.07,2.09,7.86,Yes,Yes,5.09,Yes,3.46,Evening
Drink Menu,Hot Chocolate,Mumbai,259.64,588.82,20.05,15.08,2.47,0.18,8.02,39.32,10.31,4.56,1252,1.14,4.23,No,Yes,2.08,Yes,1.53,Morning
Regular Menu,American Veg Burger,Kolkata,134.11,292.51,23.63,24.23,15.47,0.65,4.53,45,16.62,2.93,1290.31,8.1,14.96,Yes,Yes,9.8,Yes,2.36,Morning
Drink Menu,Pepsi,Ahmedabad,327.38,715.95,11.1,7.22,7.41,0.56,13.21,73.27,6.94,3.69,378.01,3,8.38,Yes,Yes,3.06,Yes,9.29,Evening
Drink Menu,Hot Chocolate,Delhi,346.24,457.54,19.37,8.3,6.68,0.37,14.46,93.65,12.66,3.71,1081.25,9.46,3.55,Yes,Yes,1.72,No,4.26,Evening
Regular Menu,McChicken Burger,Ahmedabad,334.19,285.88,9.66,23,15.18,0.99,5.15,45.08,2.25,9.77,719.62,9.64,9.87,No,No,7.77,No,2.55,Evening
Regular Menu,McChicken Burger,Bangalore,250.98,524.18,9.7,8.05,13.08,0.81,23.71,64.93,8.96,5.44,1446.06,1.09,11.74,No,No,8.39,No,3.69,Morning
Dessert Menu,Caramel McFlurry,Ahmedabad,253.48,726.73,23.05,39.1,8.69,0.17,28.71,39.89,8.86,9.23,1150.11,8.96,2.36,No,Yes,5.36,Yes,4.45,Morning
Meal Menu,Chicken Supreme Meal,Bangalore,93.27,467.84,13.8,11.67,10.55,0.53,17.69,75.64,7.15,5.29,973.71,6.33,2.29,No,No,3.97,Yes,4.93,Morning
Regular Menu,Pizza Puff,Hyderabad,330.81,692.89,11.81,9.34,5.91,0.52,28.34,113.49,15,3.99,1177.1,2.06,6.21,Yes,Yes,4.12,Yes,1.43,Afternoon
Drink Menu,Orange Juice,Ahmedabad,167.4,619.9,17.79,37.38,11.25,0.66,46.55,20.41,11.85,4.11,1083.73,1.47,10.86,No,No,9.02,Yes,4.66,Morning
Meal Menu,Veggie Deluxe Meal,Kolkata,301.74,748.58,20.97,37.3,17.16,0.8,6.83,38.3,8.25,4.73,1123.82,5.82,2.14,Yes,Yes,2.99,Yes,1.88,Evening
Regular Menu,McSpicy™ Paneer Burger,Hyderabad,299.78,347.33,17.78,5.25,14.91,0.05,34.24,65.33,19.86,0.24,1396.39,2.64,11.48,Yes,Yes,5.28,Yes,5.03,Morning
Meal Menu,McCombo Meal,Mumbai,237.25,628.64,14.01,27.04,10.76,0.53,20.43,63.18,3.85,4.75,1247.32,8.29,7.76,Yes,Yes,2.01,No,8.15,Evening
Regular Menu,McChicken Burger,Delhi,111.39,631.42,21,9.46,1.14,0.48,12.02,92.33,1.39,1.75,1135.41,3.85,13.57,Yes,Yes,2.38,Yes,6.67,Afternoon
Drink Menu,Hot Tea,Mumbai,253.81,248.44,24.9,28.29,19.63,0.86,28.98,116.75,10.56,1.74,491,3.38,8.35,Yes,Yes,6.96,Yes,1.49,Morning
Drink Menu,Pepsi,Kolkata,104.5,494.71,7.18,29.99,17.13,0.52,1.1,31.81,0.2,1.85,578.27,2.23,4.38,Yes,No,5.2,No,9.57,Afternoon
Drink Menu,Iced Tea,Hyderabad,295.43,889.33,24.4,38.31,4.54,0.16,33.37,69.24,6.59,1.13,1079.71,9.27,5.31,No,No,3.55,Yes,8.26,Morning
Meal Menu,McCombo Meal,Mumbai,194.8,336.7,15.75,7.8,5.41,0.23,26.52,43.34,12.63,9.54,431.25,6.84,10.81,No,No,1.99,Yes,2.86,Afternoon
Dessert Menu,Caramel McFlurry,Kolkata,100.4,720.03,11.66,33.63,5.64,0.85,4.43,80.59,2.64,9.42,890.57,7.48,9.78,No,Yes,6.76,Yes,3.91,Morning
Drink Menu,Coca-Cola,Bangalore,341.93,793.56,7.51,33.26,9.73,0.57,39.08,88.88,2.33,8.72,810.62,4.13,1.07,Yes,Yes,6.11,Yes,9.31,Afternoon
Drink Menu,Hot Chocolate,Kolkata,183.01,690.52,18.73,24.31,6.38,0.94,9.92,39.1,14.37,2.96,561.93,9.88,5.13,Yes,No,7.14,Yes,4.91,Morning
Meal Menu,Veggie Deluxe Meal,Kolkata,292.64,615.32,20.51,9.7,10.63,0.65,34.15,42.6,6.57,1.4,1358.17,9.49,5.98,Yes,Yes,5.22,Yes,3.4,Morning
Meal Menu,Veggie Deluxe Meal,Delhi,284.09,338.77,21.68,35.92,6.62,0.43,26.49,23.65,10.96,4.16,1181.58,6.96,6.77,Yes,Yes,7.57,Yes,2.49,Morning
Drink Menu,Hot Coffee,Hyderabad,304.39,578.73,19.52,39.6,11.94,0.36,49.73,115.75,16.8,1.09,689.05,8.18,12.41,Yes,No,3.21,No,1.81,Morning
Regular Menu,Veg Maharaja Mac,Pune,171.01,246.49,17.59,28.63,5.57,0.63,18.36,72.17,18.91,6.11,786.68,8.55,7.31,No,Yes,8.63,Yes,2.82,Evening
Regular Menu,Chicken McNuggets,Kolkata,229.74,488.56,5.28,23.39,11.08,0.1,45.45,87.93,4.72,9.6,1119.53,7.63,12.59,Yes,Yes,7.23,No,7.42,Afternoon
Drink Menu,Sprite,Ahmedabad,261.13,609.73,10.65,37.07,5.06,0.76,28.41,73.5,12.52,9.74,1408.57,5.16,11.5,Yes,Yes,6.04,Yes,5.02,Evening
Drink Menu,Hot Chocolate,Bangalore,195.74,704.56,15.79,27.18,3.86,0.83,33.92,80.34,2.12,5.12,693.12,3.46,1.08,Yes,No,9.77,No,5.65,Evening
Dessert Menu,Apple Pie,Mumbai,116.34,455.83,8.93,39.17,8.78,0.28,3.56,110.87,12.23,2.14,1401.04,4.36,4.69,Yes,Yes,7.4,No,2.05,Afternoon
Meal Menu,Veggie Deluxe Meal,Pune,317.5,544.38,22.59,5.39,10.03,0.97,12.98,77.54,7.39,0.33,1194.7,5.66,14.2,Yes,No,6.1,No,8.94,Evening
Regular Menu,Green Chilli Aloo Naan,Pune,272.44,429.49,11.14,18.5,3.88,0.5,35.22,116.28,1.98,3.93,1400.08,4.99,5.71,Yes,No,3.14,No,2.88,Morning
Meal Menu,Veggie Deluxe Meal,Hyderabad,190.72,578.77,14.09,16.88,19.74,0.92,11.97,93.27,14.3,0.9,765.54,2.41,1.35,No,No,7.75,No,5.34,Morning
Regular Menu,McGrilled Chicken Wrap,Hyderabad,171.23,253.47,17.5,36.6,9.45,0.19,37.02,104.31,16.62,6.59,258.99,1.64,11.77,Yes,Yes,1.14,No,4.3,Evening
Dessert Menu,Caramel McFlurry,Ahmedabad,115.14,474.02,16.57,36,15.18,0.34,12.54,40.35,1.44,7.07,1112.3,4.91,2.98,No,Yes,1.64,No,7.16,Morning
Regular Menu,McAloo Tikki Burger®,Hyderabad,325.2,363.36,7.2,35.56,12.09,0.68,14.97,75.34,3.71,0.66,340.32,9.03,8.23,No,Yes,2.84,No,9.6,Afternoon
Drink Menu,Sprite,Chennai,323.25,512.02,20.38,16.25,4.59,0.11,6.51,33.01,5.23,6.22,744.18,9.07,3.37,No,No,7.56,Yes,8.59,Morning
Regular Menu,Filet-O-Fish,Chennai,303.06,489.72,11.97,7.45,12.62,0.53,33.24,38.82,14.64,0.32,433.05,8.14,1.58,No,Yes,9.54,Yes,2.29,Evening
Meal Menu,Veggie Deluxe Meal,Pune,291.02,377.66,12.86,29.72,17.93,0.07,43.09,98.57,4.05,3.57,464.55,4.6,2.6,No,No,8.22,No,7.69,Evening
Dessert Menu,Vanilla Ice Cream,Chennai,170.36,397.64,6.99,31.65,13.74,0.34,37.03,63.21,5.69,4.94,910.96,5.06,5,No,No,5.04,No,6.4,Evening
Regular Menu,American Veg Burger,Chennai,200.88,461.45,15.57,6.85,14.08,0.91,48.11,71.24,8.69,8.76,1307.73,9,1.44,No,Yes,3.29,Yes,5.26,Morning
Meal Menu,McCombo Meal,Mumbai,182.94,459.81,18.1,13.71,10.6,0.44,31.13,87.28,12.91,3.92,953.93,5.11,12.43,Yes,No,8.61,Yes,7.3,Afternoon
Dessert Menu,Caramel McFlurry,Bangalore,106.81,639.97,24.27,20.83,14.54,0.42,10.53,64.13,10.78,5.25,905.88,6.33,10.08,No,Yes,7.76,Yes,2.19,Morning
Regular Menu,Filet-O-Fish,Delhi,203.69,524.84,20.96,7.06,6.43,0.15,20.19,44.41,14.37,8.74,1474.05,2.31,12.08,No,No,8.57,Yes,5.69,Afternoon
Dessert Menu,Vanilla Ice Cream,Ahmedabad,205.3,260.27,7.43,27.25,6.74,0.33,9.88,109.48,8.33,4.38,342.03,2.87,3.64,No,Yes,3.31,Yes,8.3,Evening
Drink Menu,Hot Coffee,Chennai,158.66,208.12,24.21,37,19.74,0.78,44.99,67.16,1.18,0.34,471.81,2.57,14.25,Yes,No,9.31,No,7.53,Morning
Dessert Menu,Apple Pie,Bangalore,320.03,858.05,12.75,19.14,3.94,0.25,42.21,55.08,19.27,4.87,205.34,2.69,8.47,Yes,Yes,6.42,No,5.92,Morning
Meal Menu,Chicken Supreme Meal,Hyderabad,97.33,702.84,19.8,36.02,6.8,0.8,33.01,64.36,12.76,6.17,1320.06,4.4,7.26,No,No,6.04,No,2.85,Morning
Drink Menu,Hot Chocolate,Kolkata,314.8,316.41,14.98,5.67,1.96,0.45,28.03,102.64,13.13,2.84,867.28,8.86,7.39,Yes,Yes,4.95,Yes,2.89,Morning
Drink Menu,Hot Tea,Kolkata,148.71,741.94,14.24,11.16,7.37,0.24,11.41,119.33,14.8,0.41,1142.04,3.63,2.73,Yes,No,7.67,Yes,2.68,Morning
Dessert Menu,Chocolate Sundae,Mumbai,224.88,460.37,20.58,30.19,14.97,0.23,41.6,86.97,9.76,9.75,1357.3,8.29,2.29,No,No,5.36,No,1.34,Morning
Regular Menu,McAloo Tikki Burger®,Delhi,290.82,583.5,16.95,8.3,17.64,0.68,7.44,34.47,9.18,5.99,764.13,2.94,8.74,Yes,Yes,7.78,Yes,4.95,Morning
Meal Menu,Chicken Supreme Meal,Chennai,115.33,584.66,14.53,29.31,16.16,0.7,7.93,74.88,3.03,0.73,505.27,7.7,2.67,Yes,Yes,5.2,No,4.79,Morning
Dessert Menu,Caramel McFlurry,Hyderabad,304.53,827.27,11.74,6.31,7.33,0.83,43.51,81.85,3.09,3.64,668.06,1.38,5.25,Yes,Yes,6.62,Yes,7.43,Evening
Drink Menu,Orange Juice,Ahmedabad,328.93,740.62,21.94,33.97,15.48,0.37,30.97,28.48,11.99,9.7,1169.64,8.94,4.24,No,No,8.46,No,9.39,Afternoon
Meal Menu,Veggie Deluxe Meal,Mumbai,123.16,600.93,8.89,25.89,9.8,0.93,45.96,30.34,10.6,2.13,696.29,2.09,1.84,Yes,Yes,5.93,Yes,5.9,Evening
Regular Menu,Spicy Paneer Wrap,Delhi,175.91,684.87,23.05,15.24,9.09,0.99,34.82,49.34,12.35,0.44,1036.07,1.63,14.86,No,No,7.11,No,9.03,Morning
Dessert Menu,Vanilla Ice Cream,Mumbai,244.2,795.36,13.36,6.74,9.62,0.19,48.45,52.09,9.89,5.11,1175.16,9.3,4.36,No,Yes,5.13,Yes,1.87,Evening
Regular Menu,Filet-O-Fish,Ahmedabad,275.28,312.54,18.7,20.38,13.39,0.64,16.21,112.39,5.03,2.73,525.95,2.03,1.82,No,No,1.8,Yes,2.42,Evening
Dessert Menu,Apple Pie,Kolkata,84.59,754.25,20.11,8.14,17.39,0.72,4.97,23.2,2.42,5.9,458.44,5.83,7.06,Yes,Yes,3.27,No,8.54,Evening
Meal Menu,Chicken Supreme Meal,Bangalore,331.4,552.76,12.06,17.91,14.47,0.98,37.92,79.29,1.08,1.92,518.81,6.15,9.06,No,Yes,2.69,Yes,3.79,Morning
Regular Menu,Veg Maharaja Mac,Pune,189.32,333.13,24.65,33.67,14.97,0.68,41.92,33.09,3.16,6.61,670.45,8.84,11.78,No,Yes,7.05,Yes,8.17,Afternoon
Drink Menu,Hot Coffee,Pune,259.86,559.31,6.86,33.17,9.09,0.57,12.33,43.24,16.85,4.56,971.46,8.2,13.43,No,No,9.32,No,2.11,Evening
Meal Menu,Veggie Deluxe Meal,Kolkata,121.19,473.96,13.98,27.24,10.45,0.06,48.14,114.92,15.26,8.66,702.31,2.54,13.95,No,Yes,9.5,Yes,9.85,Evening
Dessert Menu,Apple Pie,Bangalore,306.53,379.23,7.24,37.26,1.22,0.65,3.96,100.57,4.55,0.86,544.8,1.63,10.32,Yes,Yes,2.97,No,3.22,Evening
Regular Menu,McVeggie™ Burger,Hyderabad,260.27,209.01,17.67,34.29,19.4,0.11,7.51,51.99,2.37,8.23,535.39,3.38,12.76,Yes,No,4.8,Yes,5.16,Afternoon
Regular Menu,McVeggie™ Burger,Pune,268.09,754.38,22.1,19.72,17.96,0.32,17.34,52.53,14.47,0.46,339.54,8.57,11.99,No,No,6.65,No,2.27,Morning
Meal Menu,Veggie Deluxe Meal,Bangalore,263.14,595.32,7.38,11.49,17.14,0.28,34.18,61.61,10.54,3.17,1281.71,6.69,12.66,No,No,1.29,No,2.92,Evening
Meal Menu,Veggie Deluxe Meal,Mumbai,276.84,857.28,12.38,14.44,18.29,0.83,19.68,111.61,4.24,7.69,873.28,9.65,1.57,No,Yes,8.37,Yes,2.61,Afternoon
Drink Menu,Pepsi,Ahmedabad,328.26,629.88,7.52,29.28,14.43,0.85,35.72,53.78,14.08,2.77,495.06,6.36,4.44,Yes,No,2.95,Yes,5.1,Morning
Meal Menu,McCombo Meal,Bangalore,252.69,590.63,12.31,7.94,3.88,0.99,16.04,107.38,2.44,8.26,1465.03,5.57,3.26,Yes,No,9.48,No,2.79,Afternoon
Drink Menu,Hot Coffee,Kolkata,345.62,351.73,7,18.93,13.59,0.66,24.93,87.12,14.04,6.84,1203.6,4.4,11.7,No,No,7.58,No,9.42,Morning
Meal Menu,Veggie Deluxe Meal,Ahmedabad,325.08,234.81,5.08,35.74,8.49,0.31,7.6,58.08,9,0.63,274.02,2.27,3.17,No,Yes,8.07,No,3.27,Morning
Meal Menu,Veggie Deluxe Meal,Delhi,209.34,448.36,20.49,11.72,12.76,0.64,21.88,73.94,14.5,8.42,1035.25,4.82,5.45,No,No,6,Yes,4.85,Afternoon
Regular Menu,Spicy Paneer Wrap,Ahmedabad,217.61,273.5,18.03,14.84,4.13,0.11,19.3,96.39,6.44,4.29,1360.18,3.2,8.17,Yes,No,3.01,Yes,1.93,Evening
Dessert Menu,Vanilla Ice Cream,Kolkata,130.69,296.27,15.31,31.13,12.47,0.65,12.05,69.3,7.96,3.87,352.33,5.78,14.38,No,No,2.95,Yes,3.57,Morning
Dessert Menu,Caramel McFlurry,Pune,278.43,797.94,15.95,11.85,1.63,0.87,39.04,85.5,10.87,9.13,1037.11,6.83,14.08,No,No,1.19,Yes,8.89,Afternoon
Regular Menu,McAloo Tikki Burger®,Kolkata,215.36,771.55,12.12,20.71,6.08,0.9,3.87,48.45,3.13,2.25,1062.43,1.26,2.98,Yes,Yes,1.01,Yes,7.66,Evening
Regular Menu,McVeggie™ Burger,Ahmedabad,120.83,612.99,20.57,18.14,19.17,0.01,31.34,56.32,7.93,8.52,933.31,2.13,14.88,No,Yes,2.85,No,3.86,Afternoon
Dessert Menu,Vanilla Ice Cream,Chennai,250.77,820.88,9.18,24.5,3.78,0.69,48.57,45.18,8.44,0.04,1485.5,8.06,1.51,Yes,Yes,3.29,No,8.61,Evening
Dessert Menu,Apple Pie,Kolkata,207.42,639.31,13.09,7.23,18.73,0.63,0.81,110.54,18.87,5.92,643.07,3.54,12.55,Yes,No,7.45,Yes,5.34,Evening
Meal Menu,Chicken Supreme Meal,Hyderabad,252.75,541.65,24.35,20.82,6.88,0.37,14.83,100.64,5.45,0.55,854.86,9.61,6.62,Yes,Yes,8.09,Yes,7.03,Morning
Meal Menu,McCombo Meal,Ahmedabad,295.22,378.25,12.35,17.62,11.6,0.99,28.16,28.36,8.49,9.21,1221.75,7.51,3.09,Yes,Yes,2,Yes,4.85,Morning
Regular Menu,McVeggie™ Burger,Bangalore,221.78,762.37,6.3,7.44,8.47,0.42,1,66.39,14.73,5.5,1437.75,1.82,10.95,Yes,No,5.39,Yes,3.68,Afternoon
Dessert Menu,Chocolate Sundae,Hyderabad,229.54,610.32,8.1,22.79,2.65,0.25,21.45,61.58,13.67,6.76,499.95,5.86,13.43,Yes,No,7.39,Yes,9.78,Evening
Dessert Menu,Vanilla Ice Cream,Hyderabad,152.95,502.07,14.04,28.36,18.13,0.64,39.77,110.74,0.59,5.25,458.3,8.93,6.91,Yes,Yes,1.5,No,8.97,Evening
Regular Menu,McChicken Burger,Bangalore,319.73,811.32,19.05,20.35,4.8,0.59,13.61,81.98,13.94,4.61,927.39,9.3,13.47,Yes,No,5.17,No,2.03,Afternoon
Meal Menu,McCombo Meal,Kolkata,170.88,374.28,23.47,7.37,5.58,0.27,43.84,72.9,0.09,0.75,1007.57,1.43,10.1,No,No,3.38,No,3.37,Morning
Dessert Menu,Caramel McFlurry,Pune,278.96,665.76,19.92,6.01,13,0.5,45.28,65.31,6.84,0.73,843.67,8.92,10.29,Yes,No,1.78,No,2.16,Afternoon
Drink Menu,Iced Tea,Bangalore,176.97,338.17,9.72,10.23,16.27,0.6,48.89,66.52,5.71,1.51,931.2,2.79,10.36,Yes,Yes,4.05,No,7.77,Afternoon
Regular Menu,American Veg Burger,Delhi,177.66,653.61,6.59,8.75,12.28,0.5,16,98.92,5.68,6.87,1065.31,1.9,4.52,Yes,Yes,2.1,Yes,9.6,Afternoon
Drink Menu,Sprite,Pune,197.33,579.9,18.73,6.41,12.88,0.01,20.93,52.77,7.83,4.08,1054.28,1.53,9.68,No,Yes,3.66,Yes,6.44,Evening
Regular Menu,McGrilled Chicken Wrap,Kolkata,201.88,741.7,9.61,16.79,9.12,0.07,32.48,104.61,16.94,1.35,248.75,1.43,11.01,No,No,6.79,Yes,6.43,Evening
Dessert Menu,Chocolate Sundae,Kolkata,91.48,459.55,12.43,17.9,14.35,0.3,24.68,119.03,12.57,4.22,746.07,2.03,14.01,Yes,No,4.67,No,1.43,Evening
Meal Menu,Chicken Supreme Meal,Mumbai,131.22,700.88,23.11,9.43,7.64,0.94,38.6,78.26,4.41,6.71,685.94,6.34,12.24,Yes,No,1.62,No,1.9,Evening
Dessert Menu,Caramel McFlurry,Pune,239.91,236.46,13.36,7.82,19.96,0.68,30.76,68.15,16.69,2.94,1117.77,4.11,9.06,Yes,No,9.51,No,4.99,Morning
Drink Menu,Hot Chocolate,Chennai,346.12,826.94,12.16,21.18,17.21,0.37,22.3,76.14,18.26,3.85,751.68,6.94,12.65,Yes,No,8.66,Yes,2,Evening
Drink Menu,Sprite,Pune,235.27,886.79,6.4,26.4,2.01,0.68,25.3,82.41,1.55,6.69,485.99,7.8,8.48,Yes,No,8.72,No,2,Afternoon
Dessert Menu,Caramel McFlurry,Pune,246.66,242.83,12.46,27.92,12.59,0.13,13.33,116.35,9.93,0.14,697.62,1.79,7.79,Yes,Yes,6.48,No,4.01,Morning
Drink Menu,Hot Chocolate,Delhi,277.4,200.19,17.18,16.03,18.26,0.48,34.23,95.12,2.46,3.66,1024.52,5.03,5.91,Yes,Yes,3.72,No,8.53,Morning
Regular Menu,Veg Maharaja Mac,Bangalore,90.64,543.78,21.69,21.82,5.26,0.02,16.11,23.18,18.12,4.64,673.05,2.18,10.24,Yes,No,8.94,Yes,7.63,Evening
Dessert Menu,Apple Pie,Chennai,282.88,486.52,11.13,12.6,3.4,0.31,25.35,64.27,12.75,9.86,248.67,2.78,1.47,No,No,9.32,No,9.3,Afternoon
Meal Menu,Chicken Supreme Meal,Ahmedabad,324.97,287.46,17.2,11.73,14.7,0.59,29.58,40.44,15.64,4.89,849.17,8.22,10.47,No,Yes,4.78,No,8.36,Morning
Drink Menu,Hot Chocolate,Bangalore,184.32,730.93,20.99,36.52,18.04,0.99,43.01,27.22,11.75,5.23,1008.17,6.04,11.58,Yes,Yes,9.98,No,5.68,Morning
Meal Menu,Chicken Supreme Meal,Bangalore,301.18,430.54,11.77,7.44,15.3,0.49,39.55,91.36,10.26,0.22,499.12,9.3,14.3,No,Yes,9.01,No,9.8,Morning
Regular Menu,Spicy Paneer Wrap,Mumbai,280.73,806.51,6.86,5.58,14.61,0.73,37.48,102.41,10.29,0.21,1198.72,2.31,13.86,Yes,No,2.2,No,4.8,Evening
Regular Menu,Pizza Puff,Bangalore,201.54,365.35,18.01,32.72,6.2,0.84,33.01,48.59,10.89,3.84,1491.31,1.24,13.78,No,No,8.66,Yes,8.85,Morning
Drink Menu,Hot Tea,Mumbai,133.39,384.66,6.61,15.91,3.18,0.75,19.59,70.37,5.09,6.75,772.41,1.5,9.15,No,Yes,7.68,Yes,7.95,Evening
Dessert Menu,Vanilla Ice Cream,Hyderabad,329.72,305.13,12.31,32.85,15.33,0.03,27.31,23.72,10.15,1.44,761.09,9.94,12.78,No,No,2.44,No,3.54,Evening
Dessert Menu,Caramel McFlurry,Ahmedabad,221.77,749.71,8.75,38.01,9.37,0.97,22.26,114.75,19.92,1.75,623.83,5.92,1.12,No,Yes,2.51,No,3.41,Evening
Drink Menu,Pepsi,Chennai,305.05,270.42,5.79,12.3,12.91,0.53,18.02,32.34,3.76,0.32,970.4,2.57,12.66,No,No,7.18,Yes,8.29,Evening
Meal Menu,Veggie Deluxe Meal,Chennai,96.57,393.66,18.05,38.55,7.43,0.02,32.4,22.1,11.72,5.45,428.47,9.66,13.81,Yes,Yes,5.56,Yes,7.86,Morning
Regular Menu,Spicy Paneer Wrap,Hyderabad,88.69,577.94,19.04,20.95,3.98,0.76,32.55,32.38,7.94,9.37,419.33,2.12,11.56,Yes,Yes,8.28,Yes,6.02,Morning
Regular Menu,McVeggie™ Burger,Chennai,149.85,553.61,16.63,10.39,13.69,0.11,24.79,98.8,0.5,5.73,365.57,2.54,14.32,No,Yes,2.05,No,6.6,Morning
Meal Menu,Chicken Supreme Meal,Chennai,342.55,750.72,6.1,10.45,1.8,0.39,1.06,103.71,16.62,6.38,1160.37,2.94,4.2,No,Yes,7.14,No,1.79,Evening
Meal Menu,Chicken Supreme Meal,Ahmedabad,136.13,581.32,19.08,26.99,16.97,0.98,0.01,41.11,7.4,5.33,402.86,6.21,14.77,Yes,Yes,5.38,Yes,6.05,Morning
Dessert Menu,Caramel McFlurry,Hyderabad,230.24,817.76,10.91,27.57,2.1,0.63,49.08,109.53,6.89,1.58,1416.64,3.08,2.95,Yes,Yes,6.47,No,4.19,Evening
Drink Menu,Pepsi,Kolkata,149.67,235.47,16.32,34.34,4.67,0.32,42.92,75.25,2,0.94,1310.29,8.44,11.06,Yes,No,9.63,Yes,7.06,Evening
Meal Menu,Veggie Deluxe Meal,Mumbai,128.56,293.61,12.96,19.8,18.63,0.64,44.23,56.31,17.73,8.43,954.84,8.98,9.65,No,No,2.78,Yes,9.32,Afternoon
Drink Menu,Pepsi,Delhi,175.62,696.16,7.53,7.49,18.92,0.17,43.52,94.78,17.04,8.39,577.42,6.99,6.22,Yes,No,8.52,Yes,1.69,Evening
Drink Menu,Hot Chocolate,Chennai,88.99,566.73,22.46,13.83,15.56,0.3,12.66,48.81,8.49,2.77,1277.28,2.94,12.31,Yes,No,1.27,No,5.51,Afternoon
Regular Menu,American Veg Burger,Ahmedabad,266.19,332.06,20.44,5.08,19.69,0.84,41.72,34.26,4.57,9.59,358.94,7.99,14.68,No,No,8.78,No,3.68,Morning
Dessert Menu,Caramel McFlurry,Bangalore,187.67,272.82,22.17,5.24,16.13,0.94,6.29,67.36,7.97,5.85,669.33,5.65,14.42,No,No,6.45,No,7.05,Afternoon
Meal Menu,Chicken Supreme Meal,Ahmedabad,152.67,302.55,14.67,7.16,9.51,0.49,20.09,117.91,1.02,2.53,1342.92,3.23,7.68,No,Yes,3.28,Yes,5.18,Evening
Drink Menu,Coca-Cola,Kolkata,120.02,894.73,5.08,21.09,1.18,0.51,37.24,58.14,1.79,6.7,563.75,7.54,9.44,Yes,No,2.83,No,6.1,Afternoon
Drink Menu,Orange Juice,Delhi,344.82,824.92,9.99,34.55,12.43,0.39,27.09,110.01,12.66,1.17,288.91,4.14,10.98,No,No,5.91,No,9.49,Evening
Drink Menu,Hot Coffee,Pune,290.4,394.47,20.72,20.91,12.55,0.27,1.47,39.39,10.71,9.41,626.95,7.01,6.38,Yes,Yes,6.37,Yes,4.36,Afternoon
Regular Menu,McGrilled Chicken Wrap,Kolkata,299.72,856.15,13.93,6.82,14.8,0.49,18.89,100.48,10.44,5.4,1137.81,5.25,5.84,No,Yes,7.34,Yes,2.69,Evening
Regular Menu,Chicken McNuggets,Chennai,273.55,729.99,18.48,6.14,6.26,0.8,1.89,26.46,17.69,6.58,1375.4,5.74,1.21,Yes,No,3.49,No,1.52,Morning
Meal Menu,Veggie Deluxe Meal,Bangalore,271.52,386.01,20.64,35.94,9.92,0.25,21.76,54,5.03,0.23,642.76,6.71,8.37,No,Yes,8.52,No,7.51,Morning
Regular Menu,McChicken Burger,Pune,304.05,481.54,10,20.18,12.38,0.87,5.6,83.67,10.54,4.41,662.88,8.34,11.17,Yes,No,1.81,Yes,1.26,Evening
Drink Menu,Iced Tea,Bangalore,309.48,571.85,12.15,14.59,12.56,0.84,30.36,46.63,6.58,6.22,1231.83,3.39,11.07,Yes,Yes,2.28,No,2.48,Morning
Dessert Menu,Apple Pie,Chennai,91.36,589.3,11.72,22.15,12.51,0.38,28.54,99.79,1.7,1.44,1087.35,1.09,2.12,Yes,Yes,3.75,No,6.95,Evening
Regular Menu,Spicy Paneer Wrap,Pune,310.74,669.79,24.43,14.03,13.32,0.55,13.87,99.8,16.33,4.44,1147.69,6.46,12.17,Yes,No,9.11,No,1.88,Morning
Regular Menu,McGrilled Chicken Wrap,Hyderabad,336.73,808.83,22.86,27.13,14.47,0.24,32.28,117.64,17.63,0.32,920.13,9.66,9.99,Yes,No,7.66,Yes,2.42,Afternoon
Dessert Menu,Chocolate Sundae,Ahmedabad,132.81,872.4,16.42,37.72,18.1,0.85,30.77,58.9,11.73,4.59,1191.63,5.7,3.03,No,No,7.49,Yes,7.81,Afternoon
Drink Menu,Sprite,Pune,251.92,395.63,12.6,18.01,3.48,0.05,28.4,110.44,0.77,1.95,1147.01,8.88,3.84,No,Yes,4.03,Yes,6.9,Evening
Regular Menu,McVeggie™ Burger,Hyderabad,191.68,518.09,8.68,24.23,16.86,0.36,31.74,76.52,7.1,4.66,940.83,9.16,7.66,Yes,No,5.69,No,9.39,Afternoon
Dessert Menu,Apple Pie,Kolkata,333.58,429.32,10.34,6.85,6.43,0.9,13.47,68.03,19.69,3.01,357.27,3.08,7.85,Yes,Yes,6.76,No,5.28,Morning
